cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,note
68,complete,probe/cycle_000068.csv,treatment/cycle_000068.csv,2026-07-12T14:17:47.142,2026-07-12T14:17:47.587,4.5,7,612000,6000,200,1000,
69,complete,probe/cycle_000069.csv,treatment/cycle_000069.csv,2026-07-12T14:17:48.151,2026-07-12T14:17:48.549,4.5,7,612000,6000,200,1000,
70,complete,probe/cycle_000070.csv,treatment/cycle_000070.csv,2026-07-12T14:17:49.168,2026-07-12T14:17:49.611,4.5,7,612000,6000,200,1000,
71,complete,probe/cycle_000071.csv,treatment/cycle_000071.csv,2026-07-12T14:17:50.181,2026-07-12T14:17:50.625,4.5,7,612000,6000,200,1000,
72,complete,probe/cycle_000072.csv,treatment/cycle_000072.csv,2026-07-12T14:17:51.195,2026-07-12T14:17:51.636,4.5,7,612000,6000,200,1000,
73,complete,probe/cycle_000073.csv,treatment/cycle_000073.csv,2026-07-12T14:17:52.203,2026-07-12T14:17:52.645,4.5,7,612000,6000,200,1000,
74,complete,probe/cycle_000074.csv,treatment/cycle_000074.csv,2026-07-12T14:17:53.214,2026-07-12T14:17:53.657,4.5,7,612000,6000,200,1000,
75,complete,probe/cycle_000075.csv,treatment/cycle_000075.csv,2026-07-12T14:17:54.230,2026-07-12T14:17:54.672,4.5,7,612000,6000,200,1000,
76,complete,probe/cycle_000076.csv,treatment/cycle_000076.csv,2026-07-12T14:17:55.237,2026-07-12T14:17:55.680,4.5,7,612000,6000,200,1000,
77,complete,probe/cycle_000077.csv,treatment/cycle_000077.csv,2026-07-12T14:17:56.253,2026-07-12T14:17:56.699,4.5,7,612000,6000,200,1000,
78,complete,probe/cycle_000078.csv,treatment/cycle_000078.csv,2026-07-12T14:17:57.268,2026-07-12T14:17:57.711,4.5,7,612000,6000,200,1000,
79,complete,probe/cycle_000079.csv,treatment/cycle_000079.csv,2026-07-12T14:17:58.280,2026-07-12T14:17:58.724,4.5,7,612000,6000,200,1000,
80,complete,probe/cycle_000080.csv,treatment/cycle_000080.csv,2026-07-12T14:17:59.295,2026-07-12T14:17:59.734,4.5,7,612000,6000,200,1000,
81,complete,probe/cycle_000081.csv,treatment/cycle_000081.csv,2026-07-12T14:18:00.280,2026-07-12T14:18:00.668,4.5,7,612000,6000,200,1000,
82,complete,probe/cycle_000082.csv,treatment/cycle_000082.csv,2026-07-12T14:18:01.367,2026-07-12T14:18:01.809,4.5,7,612000,6000,200,1000,
83,complete,probe/cycle_000083.csv,treatment/cycle_000083.csv,2026-07-12T14:18:02.379,2026-07-12T14:18:02.824,4.5,7,612000,6000,200,1000,
84,complete,probe/cycle_000084.csv,treatment/cycle_000084.csv,2026-07-12T14:18:03.393,2026-07-12T14:18:03.836,4.5,7,612000,6000,200,1000,
85,complete,probe/cycle_000085.csv,treatment/cycle_000085.csv,2026-07-12T14:18:04.408,2026-07-12T14:18:04.851,4.5,7,612000,6000,200,1000,
86,complete,probe/cycle_000086.csv,treatment/cycle_000086.csv,2026-07-12T14:18:05.421,2026-07-12T14:18:05.867,4.5,7,612000,6000,200,1000,
87,complete,probe/cycle_000087.csv,treatment/cycle_000087.csv,2026-07-12T14:18:06.420,2026-07-12T14:18:06.862,4.5,7,612000,6000,200,1000,
88,complete,probe/cycle_000088.csv,treatment/cycle_000088.csv,2026-07-12T14:18:07.497,2026-07-12T14:18:07.937,4.5,7,612000,6000,200,1000,
89,complete,probe/cycle_000089.csv,treatment/cycle_000089.csv,2026-07-12T14:18:08.510,2026-07-12T14:18:08.949,4.5,7,612000,6000,200,1000,
