group,file,f0_hz,icd_estimated_f0,icd_fixed_608k,std_mv,ptp_mv,mean_mv,band_60_85k_power,band_450_750k_power,band_1_30_1_43m_power,top_peak_hz,top_peak_power
10 补测一组功放打开的，用做备用,capture_20260703_150144_437.csv,488000.0,5.0312124734551534e-05,3.2892997267555573e-05,0.3469114205101981,2.9296870000000004,-0.84540983968,2.0236416764758064e-05,2.957492525089324e-05,1.110117682709046e-05,128000.0,0.009992389941161816
10 补测一组功放打开的，用做备用,capture_20260703_150144_641.csv,488000.0,5.6240289755118964e-05,2.977378531494886e-05,0.35062887134809273,2.9296870000000004,-0.9012496987999999,2.3125782775711762e-05,2.7705371360617086e-05,1.0483269812886825e-05,128000.0,0.010882747454626035
10 补测一组功放打开的，用做备用,capture_20260703_150144_843.csv,744000.0,3.090417460797637e-05,3.2978365131030034e-05,0.34981656368634606,2.9296870000000004,-0.86943328444,3.569826843214861e-05,2.9353818856311783e-05,1.099480124442558e-05,128000.0,0.011085498449677206
10 补测一组功放打开的，用做备用,capture_20260703_150145_036.csv,488000.0,6.359385641569593e-05,3.446550150403301e-05,0.35048285803608203,2.9296870000000004,-0.86644500428,3.153530295716646e-05,2.9516362518768395e-05,1.3170757122001022e-05,128000.0,0.01043981103797937
10 补测一组功放打开的，用做备用,capture_20260703_150145_238.csv,616000.0,3.087826913324765e-05,3.113838642167792e-05,0.3505455922146578,3.417968,-0.8484176542399999,1.3380648782600493e-05,3.0237365539660436e-05,9.339915589732815e-06,128000.0,0.011093401589818908
10 补测一组功放打开的，用做备用,capture_20260703_150145_430.csv,574000.0,3.397225296206092e-05,3.475327354871115e-05,0.35248138307676014,2.9296870000000004,-0.9148629852799999,1.7371830622774555e-05,2.9637541040436066e-05,9.939361500906235e-06,128000.0,0.010337045510486005
10 补测一组功放打开的，用做备用,capture_20260703_150145_642.csv,616000.0,3.308265588592155e-05,3.3516239968477844e-05,0.3480384815881701,2.9296870000000004,-0.8750973453199998,2.5251951541165512e-05,3.4457543199396304e-05,1.2162243632316593e-05,128000.0,0.009921424724127001
10 补测一组功放打开的，用做备用,capture_20260703_150145_836.csv,616000.0,3.4500199212193926e-05,3.5711667089900555e-05,0.34967642560494555,3.417968,-0.8918942249200001,2.2350103588144255e-05,3.0385221408798835e-05,1.181684600641914e-05,128000.0,0.01083292128564967
10 补测一组功放打开的，用做备用,capture_20260703_150146_031.csv,616000.0,2.8694006094021077e-05,3.0257747684370663e-05,0.348779044926471,2.441406,-0.88201141188,1.5591650028971466e-05,2.827394799748972e-05,1.1054177531764112e-05,128000.0,0.010765985272281366
10 补测一组功放打开的，用做备用,capture_20260703_150146_231.csv,488000.0,6.28506727701703e-05,3.0836880776845e-05,0.35376248653596826,2.9296870000000004,-0.91681611192,1.2710489609531219e-05,3.086570504658797e-05,9.98727330945053e-06,128000.0,0.009754389029043879
10 补测一组功放打开的，用做备用,capture_20260703_150146_439.csv,574000.0,3.333255919025205e-05,3.137586429325113e-05,0.347043445957776,2.9296870000000004,-0.88888641244,1.9329110891543382e-05,2.3149660969847e-05,1.1334453800660327e-05,128000.0,0.009891525300139384
10 补测一组功放打开的，用做备用,capture_20260703_150146_636.csv,596000.0,3.376046798702316e-05,3.280538513968353e-05,0.34789696021051375,3.417968,-0.8831051592799999,2.2551824518172133e-05,2.765495005152395e-05,1.5301716343906415e-05,128000.0,0.010026104897975343
10 补测一组功放打开的，用做备用,capture_20260703_150146_831.csv,488000.0,4.943660533249034e-05,3.2663982199601385e-05,0.35371998579155556,2.9296870000000004,-0.86845672332,1.4147429368351148e-05,2.995619337828799e-05,9.748603578484102e-06,128000.0,0.011626824229057246
10 补测一组功放打开的，用做备用,capture_20260703_150147_037.csv,742000.0,3.0928915347808976e-05,3.275560019265223e-05,0.3486490810737793,2.9296870000000004,-0.8581637483199999,2.1608313448121253e-05,3.0404787573203474e-05,1.1752087339823081e-05,128000.0,0.010410773087126766
10 补测一组功放打开的，用做备用,capture_20260703_150147_245.csv,614000.0,3.3286281024404505e-05,3.3192673427357034e-05,0.35425780550418673,3.417968,-0.8982223549999998,2.4920888868248847e-05,2.9160381094963992e-05,1.0020827944821649e-05,128000.0,0.010854496838225477
10 补测一组功放打开的，用做备用,capture_20260703_150147_437.csv,616000.0,2.9551554713050513e-05,3.0235037264507104e-05,0.3475305169520316,2.9296870000000004,-0.8629879676799999,1.6094881253585627e-05,2.7779529064441155e-05,1.0175317767495953e-05,128000.0,0.010710779135454025
10 补测一组功放打开的，用做备用,capture_20260703_150147_636.csv,616000.0,3.237851088239478e-05,3.191243271398738e-05,0.3506551112638085,3.417968,-0.8402340611199999,2.9552974443752425e-05,2.924431679119173e-05,1.1184460360339849e-05,128000.0,0.01105738725290214
10 补测一组功放打开的，用做备用,capture_20260703_150147_845.csv,616000.0,3.224778023726363e-05,3.2323667434918194e-05,0.34892076090029445,2.9296870000000004,-0.84755827844,1.4504148774134388e-05,2.9307363529848333e-05,1.1853028303242316e-05,128000.0,0.010515877069303514
10 补测一组功放打开的，用做备用,capture_20260703_150148_038.csv,574000.0,3.355184144795456e-05,3.0638483796110426e-05,0.3485232527298854,2.9296870000000004,-0.84542937368,1.300650864605412e-05,2.883602525300074e-05,1.0776600558410646e-05,128000.0,0.011082249289989387
10 补测一组功放打开的，用做备用,capture_20260703_150148_243.csv,616000.0,3.177368053475539e-05,3.196679478128303e-05,0.3448524216323924,2.9296870000000004,-0.8787106252400001,1.799490086420071e-05,2.7794580022283965e-05,1.1348746926125326e-05,128000.0,0.00980324106195276
10 补测一组功放打开的，用做备用,capture_20260703_150148_438.csv,488000.0,5.4601627999523174e-05,3.354923273489812e-05,0.3523046972958048,2.9296870000000004,-0.8579098457600001,1.1400458159048475e-05,2.7609132377384217e-05,1.0697217611489535e-05,128000.0,0.010082260857000053
10 补测一组功放打开的，用做备用,capture_20260703_150148_640.csv,594000.0,3.2794919518079976e-05,3.257926706440513e-05,0.3482038485249652,2.9296870000000004,-0.87300750216,3.695824222423415e-05,3.519123065220014e-05,1.1738334404862037e-05,128000.0,0.010102926965762104
10 补测一组功放打开的，用做备用,capture_20260703_150148_832.csv,488000.0,5.457151235272261e-05,3.502390724636274e-05,0.3522437468826978,2.9296870000000004,-0.84009734364,7.924242588409454e-06,3.210742405948964e-05,1.0939001720719682e-05,128000.0,0.009395284379512514
10 补测一组功放打开的，用做备用,capture_20260703_150149_039.csv,488000.0,5.432261119046192e-05,3.5620790813207495e-05,0.35265399066630854,2.9296870000000004,-0.80890593524,1.8928070667132213e-05,2.9120218606662787e-05,1.2057325639017933e-05,128000.0,0.011419409777199463
10 补测一组功放打开的，用做备用,capture_20260703_150149_242.csv,616000.0,3.3220135129233206e-05,3.494600668501855e-05,0.3507920354496306,2.9296870000000004,-0.88119110012,3.154262189666955e-05,2.865365704629589e-05,1.1493945144745733e-05,128000.0,0.011376498364113157
10 补测一组功放打开的，用做备用,capture_20260703_150149_432.csv,596000.0,3.547074528899828e-05,3.392982772162827e-05,0.35069840610314995,3.4179690000000003,-0.87318328444,2.4016441940949214e-05,2.9443987031109378e-05,1.0307515217204788e-05,128000.0,0.009902140463747156
10 补测一组功放打开的，用做备用,capture_20260703_150149_638.csv,574000.0,3.647230971125129e-05,3.348934422664339e-05,0.3491793185139801,3.4179690000000003,-0.8569137498399999,1.6427784374478984e-05,3.062366919428821e-05,1.192811026916794e-05,128000.0,0.010779022101399712
10 补测一组功放打开的，用做备用,capture_20260703_150149_843.csv,616000.0,3.2792246558021294e-05,3.4654628521357305e-05,0.3505460287430057,2.9296870000000004,-0.88234344292,2.2472178339896403e-05,2.9120972384888527e-05,1.2024563587464585e-05,128000.0,0.010399741159881008
10 补测一组功放打开的，用做备用,capture_20260703_150150_033.csv,488000.0,5.3567309920389716e-05,3.304207481167956e-05,0.3513623437207083,2.9296870000000004,-0.85292937512,3.871065198799626e-05,3.243995938883441e-05,1.1973981912008459e-05,128000.0,0.011631750802538608
