group,file,std_mv,ptp_mv,icd_fixed_608k,peak_128_hz,peak_128_amp_mv,peak_608_hz,peak_608_amp_mv,band_1_20k,band_45_65k,band_120_136k,band_1_30_1_43m,band_1_0_3_3m
10 补测一组功放打开的，用做备用,capture_20260703_150155_642.csv,0.349635572520391,2.9296870000000004,3.2066863564823716e-05,128000.0,0.10009269900836486,594000.0,0.013375390300740211,1.8583191394887435e-05,2.0806690415512816e-05,0.0019127058234090731,1.2079337213339145e-05,1.0594197586850428e-05
10 补测一组功放打开的，用做备用,capture_20260703_150155_842.csv,0.3482393846600693,2.9296870000000004,3.13371944497533e-05,128000.0,0.09893735917472746,596000.0,0.009297730466030423,1.9100385315755573e-05,1.638698062699386e-05,0.0019386758101363705,9.007274040240846e-06,1.1080938054728191e-05
10 补测一组功放打开的，用做备用,capture_20260703_150156_044.csv,0.3520520605261802,2.441406,3.297937078718599e-05,128000.0,0.10398803614017607,616000.0,0.009393190872894976,5.5488685219447895e-05,1.824314375747439e-05,0.0019369218382292927,1.3596792233146046e-05,1.106345093597145e-05
10 补测一组功放打开的，用做备用,capture_20260703_150156_231.csv,0.34715954121586884,2.9296870000000004,3.235025731736962e-05,128000.0,0.10364443219483678,576000.0,0.008232696900712412,2.4295784449071422e-05,1.5796792539492217e-05,0.001820954000330448,1.3268420920810802e-05,1.1262908824027592e-05
10 补测一组功放打开的，用做备用,capture_20260703_150156_441.csv,0.3497220443560122,2.441406,3.3455398049402044e-05,128000.0,0.1059857381699484,616000.0,0.010155295297349537,2.3765918938030434e-05,1.3824378533020303e-05,0.001998543364008974,1.0928240152822588e-05,1.0797738968296709e-05
10 补测一组功放打开的，用做备用,capture_20260703_150156_647.csv,0.34676387841187173,2.441406,3.247915774952526e-05,128000.0,0.09735315958223639,616000.0,0.013869408394321006,1.8376839429079393e-05,1.1266068208970717e-05,0.00179335752222748,9.38608106280294e-06,1.0844863369666638e-05
10 补测一组功放打开的，用做备用,capture_20260703_150156_836.csv,0.3500872142863068,2.9296870000000004,3.392207122508336e-05,128000.0,0.10291921133010629,616000.0,0.013728607753506324,1.4314415357463492e-05,2.285898204914254e-05,0.0019636703564380616,1.2687850041226258e-05,1.1382417508195177e-05
10 补测一组功放打开的，用做备用,capture_20260703_150157_040.csv,0.3492912497150504,2.441406,3.2723637005552925e-05,128000.0,0.10467974530900451,616000.0,0.011877782182539445,3.596328592914578e-05,1.284696835157109e-05,0.001972484539625271,1.022258346260325e-05,1.0984911736429254e-05
10 补测一组功放打开的，用做备用,capture_20260703_150157_242.csv,0.3475176531878721,3.417968,3.343378497511659e-05,128000.0,0.10054924301899587,616000.0,0.011725544536974906,1.629599187897553e-05,1.20474327598351e-05,0.001887770441335371,1.3703963843704733e-05,1.1395465478215107e-05
10 补测一组功放打开的，用做备用,capture_20260703_150157_428.csv,0.3482680503163008,3.417968,3.099986140359965e-05,128000.0,0.1049867208177297,616000.0,0.013154237826373927,3.70768517882183e-05,9.612413881997566e-06,0.002029385245946051,1.0837599556523886e-05,1.0606197004824934e-05
