cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
48,complete,probe/cycle_000048.csv,treatment/cycle_000048.csv,2026-07-16T15:59:13.421,2026-07-16T15:59:13.779,3,7,612000,6000,200,1000,52.7298,6.26129,3,True,-3.33078,2.23268,124.8,not_open,未达到开窗剂量,
49,complete,probe/cycle_000049.csv,treatment/cycle_000049.csv,2026-07-16T15:59:14.440,2026-07-16T15:59:14.798,3,7,612000,6000,200,1000,52.4068,7.53667,3,True,-3.11737,3.67583,128.476,not_open,未达到开窗剂量,
50,complete,probe/cycle_000050.csv,treatment/cycle_000050.csv,2026-07-16T15:59:15.509,2026-07-16T15:59:15.936,3,7,612000,6000,200,1000,54.1068,4.59449,2,False,-2.86621,0,128.476,not_open,未达到开窗剂量,
51,complete,probe/cycle_000051.csv,treatment/cycle_000051.csv,2026-07-16T15:59:16.563,2026-07-16T15:59:17.004,3,7,612000,6000,200,1000,52.533,8.11372,2,False,-2.64746,0,128.476,not_open,未达到开窗剂量,
52,complete,probe/cycle_000052.csv,treatment/cycle_000052.csv,2026-07-16T15:59:17.557,2026-07-16T15:59:17.998,3,7,612000,6000,200,1000,52.4551,6.82954,3,True,-3.45698,2.82371,131.3,not_open,未达到开窗剂量,
53,complete,probe/cycle_000053.csv,treatment/cycle_000053.csv,2026-07-16T15:59:18.625,2026-07-16T15:59:19.048,3,7,612000,6000,200,1000,52.9929,4.40452,2,False,-3.19859,0,131.3,not_open,未达到开窗剂量,
54,complete,probe/cycle_000054.csv,treatment/cycle_000054.csv,2026-07-16T15:59:19.679,2026-07-16T15:59:20.102,3,7,612000,6000,200,1000,53.943,1.67764,1,False,-2.53419,0,131.3,not_open,未达到开窗剂量,
55,complete,probe/cycle_000055.csv,treatment/cycle_000055.csv,2026-07-16T15:59:20.731,2026-07-16T15:59:21.156,3,7,612000,6000,200,1000,53.7203,3.16797,2,False,-1.63549,0,131.3,not_open,未达到开窗剂量,
56,complete,probe/cycle_000056.csv,treatment/cycle_000056.csv,2026-07-16T15:59:21.771,2026-07-16T15:59:22.194,3,7,612000,6000,200,1000,54.1934,6.56102,2,False,-2.41252,0,131.3,not_open,未达到开窗剂量,
57,complete,probe/cycle_000057.csv,treatment/cycle_000057.csv,2026-07-16T15:59:22.825,2026-07-16T15:59:23.253,3,7,612000,6000,200,1000,53.3119,2.7374,1,False,-3.76135,0,131.3,not_open,未达到开窗剂量,
58,complete,probe/cycle_000058.csv,treatment/cycle_000058.csv,2026-07-16T15:59:23.865,2026-07-16T15:59:24.289,3,7,612000,6000,200,1000,51.7508,8.6705,2,False,-2.49386,0,131.3,not_open,未达到开窗剂量,
59,complete,probe/cycle_000059.csv,treatment/cycle_000059.csv,2026-07-16T15:59:24.918,2026-07-16T15:59:25.343,3,7,612000,6000,200,1000,53.5309,7.05588,2,False,-3.06801,0,131.3,not_open,未达到开窗剂量,
60,complete,probe/cycle_000060.csv,treatment/cycle_000060.csv,2026-07-16T15:59:25.975,2026-07-16T15:59:26.428,3,7,612000,6000,200,1000,52.4113,0.966058,0,False,-3.79587,0,131.3,not_open,未达到开窗剂量,
61,complete,probe/cycle_000061.csv,treatment/cycle_000061.csv,2026-07-16T15:59:26.995,2026-07-16T15:59:27.434,3,7,612000,6000,200,1000,53.3869,4.18993,1,False,-3.58836,0,131.3,not_open,未达到开窗剂量,
62,complete,probe/cycle_000062.csv,treatment/cycle_000062.csv,2026-07-16T15:59:28.003,2026-07-16T15:59:28.459,3,7,612000,6000,200,1000,53.117,7.83259,3,True,-2.36414,4.07572,135.376,not_open,未达到开窗剂量,
63,complete,probe/cycle_000063.csv,treatment/cycle_000063.csv,2026-07-16T15:59:29.011,2026-07-16T15:59:29.438,3,7,612000,6000,200,1000,52.3224,4.67848,2,False,-2.66347,0,135.376,not_open,未达到开窗剂量,
64,complete,probe/cycle_000064.csv,treatment/cycle_000064.csv,2026-07-16T15:59:30.063,2026-07-16T15:59:30.475,3,7,612000,6000,200,1000,53.6653,4.9634,1,False,-1.55597,0,135.376,not_open,未达到开窗剂量,
65,complete,probe/cycle_000065.csv,treatment/cycle_000065.csv,2026-07-16T15:59:31.098,2026-07-16T15:59:31.538,3,7,612000,6000,200,1000,52.8419,7.28245,2,False,-2.72841,0,135.376,not_open,未达到开窗剂量,
66,complete,probe/cycle_000066.csv,treatment/cycle_000066.csv,2026-07-16T15:59:32.095,2026-07-16T15:59:32.499,3,7,612000,6000,200,1000,50.2424,4.94382,2,False,-2.7598,0,135.376,not_open,未达到开窗剂量,
67,complete,probe/cycle_000067.csv,treatment/cycle_000067.csv,2026-07-16T15:59:33.085,2026-07-16T15:59:33.524,3,7,612000,6000,200,1000,51.7281,8.54627,2,False,-3.34343,0,135.376,not_open,未达到开窗剂量,
68,complete,probe/cycle_000068.csv,treatment/cycle_000068.csv,2026-07-16T15:59:34.154,2026-07-16T15:59:34.592,3,7,612000,6000,200,1000,51.6695,9.01924,2,False,-3.53584,0,135.376,not_open,未达到开窗剂量,
69,complete,probe/cycle_000069.csv,treatment/cycle_000069.csv,2026-07-16T15:59:35.146,2026-07-16T15:59:35.566,3,7,612000,6000,200,1000,49.9318,4.65722,2,False,-3.84881,0,135.376,not_open,未达到开窗剂量,
70,complete,probe/cycle_000070.csv,treatment/cycle_000070.csv,2026-07-16T15:59:36.192,2026-07-16T15:59:36.631,3,7,612000,6000,200,1000,50.22,7.7527,2,False,-3.10656,0,135.376,not_open,未达到开窗剂量,
71,complete,probe/cycle_000071.csv,treatment/cycle_000071.csv,2026-07-16T15:59:37.195,2026-07-16T15:59:37.635,3,7,612000,6000,200,1000,52.6038,1.79314,1,False,-3.85962,0,135.376,not_open,未达到开窗剂量,
72,complete,probe/cycle_000072.csv,treatment/cycle_000072.csv,2026-07-16T15:59:38.178,2026-07-16T15:59:38.583,3,7,612000,6000,200,1000,50.5203,2.57993,2,False,-4.30171,0,135.376,not_open,未达到开窗剂量,
73,complete,probe/cycle_000073.csv,treatment/cycle_000073.csv,2026-07-16T15:59:39.183,2026-07-16T15:59:39.536,3,7,612000,6000,200,1000,53.3921,0.379144,0,False,-3.52541,0,135.376,not_open,未达到开窗剂量,
74,complete,probe/cycle_000074.csv,treatment/cycle_000074.csv,2026-07-16T15:59:40.242,2026-07-16T15:59:40.682,3,7,612000,6000,200,1000,52.837,10.5068,2,False,-3.00478,0,135.376,not_open,未达到开窗剂量,
75,complete,probe/cycle_000075.csv,treatment/cycle_000075.csv,2026-07-16T15:59:41.236,2026-07-16T15:59:41.611,3,7,612000,6000,200,1000,52.4858,6.44397,2,False,-3.24332,0,135.376,not_open,未达到开窗剂量,
76,complete,probe/cycle_000076.csv,treatment/cycle_000076.csv,2026-07-16T15:59:42.302,2026-07-16T15:59:42.727,3,7,612000,6000,200,1000,52.2224,8.51498,2,False,-2.88008,0,135.376,not_open,未达到开窗剂量,
77,complete,probe/cycle_000077.csv,treatment/cycle_000077.csv,2026-07-16T15:59:43.335,2026-07-16T15:59:43.760,3,7,612000,6000,200,1000,51.7126,7.26106,2,False,-3.47345,0,135.376,not_open,未达到开窗剂量,
78,complete,probe/cycle_000078.csv,treatment/cycle_000078.csv,2026-07-16T15:59:44.314,2026-07-16T15:59:44.747,3,7,612000,6000,200,1000,52.6689,9.30133,2,False,-2.90544,0,135.376,not_open,未达到开窗剂量,
79,complete,probe/cycle_000079.csv,treatment/cycle_000079.csv,2026-07-16T15:59:45.329,2026-07-16T15:59:45.702,3,7,612000,6000,200,1000,50.7444,8.86387,2,False,-4.04058,0,135.376,not_open,未达到开窗剂量,
80,complete,probe/cycle_000080.csv,treatment/cycle_000080.csv,2026-07-16T15:59:46.395,2026-07-16T15:59:46.819,3,7,612000,6000,200,1000,50.5247,11.6233,3,True,-2.93171,12.5368,147.912,not_open,未达到开窗剂量,
